"item_id","name","icon_id","confirmations","status","updated_at"
1001,"Cloth Cap +4",639,3,"emerging","2026-09-16 00:40:14"
1002,"Cloth Veil +4",677,3,"emerging","2026-09-16 00:40:14"
1003,"Cloth Choker +4",500,3,"emerging","2026-09-16 00:40:14"
1004,"Cloth Shirt",678,2,"disputed","2026-09-16 00:40:14"
1005,"Cloth Shawl",665,2,"disputed","2026-09-16 00:40:14"
1006,"Cloth Cape",656,2,"disputed","2026-09-16 00:40:14"
1007,"Cloth Cord +4",572,2,"emerging","2026-09-16 00:40:14"
1008,"Cloth Sleeves",670,2,"disputed","2026-09-16 00:40:14"
1009,"Cloth Wristband",638,1,"unverified","2026-09-16 00:40:14"
1010,"Cloth Gloves",517,2,"disputed","2026-09-16 00:40:14"
1011,"Cloth Pants",631,2,"emerging","2026-09-16 00:40:14"
1012,"Cloth Sandals",666,2,"emerging","2026-09-16 00:40:14"
1013,"Small Cloth Cap +2",639,2,"emerging","2026-09-16 00:40:14"
1016,"Small Cloth Shirt +1",678,1,"unverified","2026-09-15 20:40:33"
1023,"Small Cloth Pants",631,1,"unverified","2026-09-16 00:40:14"
1025,"Large Cloth Cap +4",639,1,"unverified","2026-09-16 00:40:14"
1028,"Large Cloth Shirt +4",678,2,"emerging","2026-09-15 21:36:23"
1035,"Large Cloth Pants +1",631,1,"unverified","2026-09-16 00:40:14"
1068,"Holy Dirt of Brell",1075,3,"emerging","2026-09-16 00:40:14"
1069,"Fiery Jewel of the Underfoot",961,3,"emerging","2026-09-16 00:40:14"
1070,"Speckled Granite Pebble",956,3,"emerging","2026-09-16 00:40:14"
1071,"Living Heart of a Brell Minion",1003,3,"emerging","2026-09-16 00:40:14"
1072,"Blood Flecked Obsidian Shard",6478,2,"emerging","2026-09-16 00:40:14"
1074,"Ruined Heretic Longsword",590,1,"unverified","2026-09-15 20:40:33"
1075,"Cracked Paineel Shield",805,1,"unverified","2026-09-15 20:40:33"
1076,"Ruined Sword Hilt",6770,1,"unverified","2026-09-15 21:36:23"
1103,"Netted Choker",500,1,"unverified","2026-09-15 20:01:43"
1105,"Netted Mantle",665,1,"unverified","2026-09-15 20:58:59"
1108,"Netted Sleeves",670,1,"unverified","2026-09-15 20:58:59"
1110,"Netted Gloves +1",517,1,"unverified","2026-09-15 20:58:59"
1111,"Netted Pants +1",631,1,"unverified","2026-09-15 20:58:59"
1122,"Woven Mask +4",677,1,"unverified","2026-09-15 20:40:33"
1124,"Woven Tunic +4",838,1,"unverified","2026-09-15 20:40:33"
1125,"Woven Mantle",668,1,"unverified","2026-09-15 20:40:33"
1127,"Woven Girth +4",564,1,"unverified","2026-09-15 20:40:33"
1130,"Woven Gloves",636,1,"unverified","2026-09-15 20:40:33"
1131,"Woven Leggings +4",635,1,"unverified","2026-09-15 20:40:33"
1141,"Mesh Helm +4",640,1,"unverified","2026-09-16 00:40:14"
1142,"Mesh Mask +1",677,1,"unverified","2026-09-16 00:40:14"
1143,"Mesh Gorget +4",643,1,"unverified","2026-09-16 00:40:14"
1144,"Mesh Tunic +4",838,2,"emerging","2026-09-16 00:40:14"
1145,"Mesh Mantle +1",668,1,"unverified","2026-09-15 21:36:23"
1146,"Mesh Cape",660,1,"unverified","2026-09-15 21:36:23"
1147,"Mesh Girth +1",564,1,"unverified","2026-09-16 00:40:14"
1148,"Mesh Armbands",634,1,"unverified","2026-09-16 00:40:14"
1149,"Mesh Bracers",637,1,"unverified","2026-09-16 00:40:14"
1150,"Mesh Gauntlets +4",636,1,"unverified","2026-09-16 00:40:14"
1151,"Mesh Leggings +1",635,1,"unverified","2026-09-16 00:40:14"
1202,"Shiverback-Hide Armbands",634,2,"emerging","2026-09-16 00:40:14"
1203,"Shiverback-Hide Wristbands +4",637,3,"emerging","2026-09-16 00:40:14"
1205,"Shiverback-Hide Leggings",635,1,"unverified","2026-09-16 00:40:14"
1212,"Cryosilk Veil +4",677,1,"unverified","2026-09-15 21:36:23"
1213,"Cryosilk Choker +4",643,1,"unverified","2026-09-15 20:58:59"
1215,"Cryosilk Amice +4",668,2,"emerging","2026-09-15 20:58:59"
1216,"Cryosilk Cloak",660,1,"unverified","2026-09-15 21:36:23"
1217,"Cryosilk Sash +3",564,1,"unverified","2026-09-15 21:36:23"
1222,"Cryosilk Lined Shoes",633,1,"unverified","2026-09-15 20:40:33"
1225,"Carmine Turban +1",1121,1,"unverified","2026-09-16 00:40:14"
1227,"Carmine Sleeves",634,1,"unverified","2026-09-16 00:40:14"
1228,"Carmine Trinket +4",1044,4,"emerging","2026-09-16 00:40:14"
1229,"Carmine Gloves +4",636,1,"unverified","2026-09-15 20:58:59"
1230,"Carmine Pants +4",635,2,"emerging","2026-09-16 00:40:14"
1232,"Blighted Skullcap",640,1,"unverified","2026-09-15 21:36:23"
1234,"Blighted Sleeves",634,1,"unverified","2026-09-16 00:40:14"
1235,"Blighted Armband +4",637,3,"emerging","2026-09-16 00:40:14"
1236,"Blighted Gloves +4",636,1,"unverified","2026-09-15 20:58:59"
1238,"Blighted Boots +4",633,1,"unverified","2026-09-15 21:36:23"
1239,"Apothic Crown +1",523,1,"unverified","2026-09-15 20:40:33"
1241,"Apothic Sleeves +1",634,1,"unverified","2026-09-15 21:36:23"
1242,"Apothic Warband +4",516,3,"emerging","2026-09-16 00:40:14"
1243,"Apothic Gloves +4",636,1,"unverified","2026-09-15 20:58:59"
1244,"Apothic Kilt +4",843,1,"unverified","2026-09-16 00:40:14"
1246,"Insidious Halo +2",1124,1,"unverified","2026-09-15 21:36:23"
1247,"Insidious Robe +4",838,1,"unverified","2026-09-15 20:58:59"
1248,"Insidious Sleeves",634,1,"unverified","2026-09-15 21:36:23"
1249,"Insidious Manacle +4",671,3,"emerging","2026-09-16 00:40:14"
1251,"Insidious Pantaloons +1",635,1,"unverified","2026-09-15 20:40:33"
1302,"Savant's Cap +4",641,1,"unverified","2026-09-16 00:40:14"
1304,"Gossamer Cap",640,1,"unverified","2026-09-16 00:40:14"
1306,"Gossamer Collar +4",643,1,"unverified","2026-09-16 00:40:14"
1307,"Gossamer Robe",838,1,"unverified","2026-09-15 21:36:23"
1308,"Gossamer Amice +4",668,1,"unverified","2026-09-15 21:36:23"
1309,"Gossamer Cape +3",660,1,"unverified","2026-09-15 21:36:23"
1310,"Gossamer Sash +4",564,1,"unverified","2026-09-15 20:40:33"
1311,"Gossamer Sleeves +4",634,1,"unverified","2026-09-15 20:40:33"
1313,"Gossamer Gloves +4",636,1,"unverified","2026-09-15 20:40:33"
1314,"Gossamer Leggings +1",635,1,"unverified","2026-09-15 21:36:23"
1322,"Thaumaturgist's Robe +4",838,3,"emerging","2026-09-15 21:36:23"
1331,"Damask Cap +4",640,1,"unverified","2026-09-15 20:40:33"
1332,"Damask Veil",677,2,"emerging","2026-09-16 00:40:14"
1333,"Damask Collar +1",643,2,"emerging","2026-09-16 00:40:14"
1334,"Damask Robe +1",838,2,"emerging","2026-09-16 00:40:14"
1335,"Damask Amice +2",668,1,"unverified","2026-09-15 21:36:23"
1336,"Damask Cape +4",660,2,"emerging","2026-09-15 21:36:23"
1337,"Damask Sash +1",564,2,"emerging","2026-09-16 00:40:14"
1338,"Damask Sleeves +1",634,1,"unverified","2026-09-15 20:01:43"
1339,"Damask Wristbands",637,1,"unverified","2026-09-16 00:40:14"
1340,"Damask Gloves +4",636,2,"emerging","2026-09-16 00:40:14"
1341,"Damask Leggings +1",635,2,"emerging","2026-09-15 21:36:23"
1342,"Soft Leather Shoes +4",633,2,"emerging","2026-09-15 21:36:23"
1343,"Festering Cloak",656,1,"unverified","2026-09-16 00:40:14"
1360,"Shining Metallic Robes +3",929,1,"unverified","2026-09-16 00:40:14"
1362,"Embroidered Black Sleeves +4",670,1,"unverified","2026-09-16 00:40:14"
1364,"Braided Cinch Cord",572,2,"emerging","2026-09-16 00:40:14"
1365,"Flowing Black Silk Sash",938,1,"unverified","2026-09-15 20:40:33"
1366,"Silversilk Leggings +1",631,2,"emerging","2026-09-16 00:40:14"
1401,"Embroidered Black Cape",656,2,"emerging","2026-09-16 00:40:14"
1402,"Gilded Cloth +3",664,1,"unverified","2026-09-15 20:40:33"
1407,"Cape of Midnight Mist +1",656,1,"unverified","2026-09-15 20:40:33"
1408,"Nightshade Wreath +3",1072,1,"unverified","2026-09-15 20:40:33"
1409,"Hooded Black Cloak +2",842,1,"unverified","2026-09-16 00:40:14"
1412,"Green Silken Drape +1",940,1,"unverified","2026-09-15 20:40:33"
1468,"Dusty Burlap Hood",639,2,"emerging","2026-09-16 00:40:14"
1469,"Dusty Burlap Veil",677,1,"unverified","2026-09-16 00:40:14"
1470,"Dusty Burlap Collar +1",500,2,"emerging","2026-09-16 00:40:14"
1471,"Dusty Burlap Shirt",678,2,"emerging","2026-09-16 00:40:14"
1472,"Dusty Burlap Shawl",665,2,"emerging","2026-09-16 00:40:14"
1473,"Dusty Burlap Cape",656,2,"emerging","2026-09-16 00:40:14"
1474,"Dusty Burlap Cord",572,1,"unverified","2026-09-16 00:40:14"
1475,"Dusty Burlap Sleeves +1",670,1,"unverified","2026-09-16 00:40:14"
1476,"Dusty Burlap Wristband",638,1,"unverified","2026-09-16 00:40:14"
1477,"Dusty Burlap Gloves",517,2,"emerging","2026-09-16 00:40:14"
1478,"Dusty Burlap Pants",631,1,"unverified","2026-09-16 00:40:14"
1479,"Dusty Burlap Sandals",666,2,"emerging","2026-09-16 00:40:14"
1480,"Soft Wicker Helm +4",640,2,"emerging","2026-09-16 00:40:14"
1481,"Soft Wicker Mask +2",771,1,"unverified","2026-09-15 20:40:33"
1482,"Soft Wicker Gorget",643,1,"unverified","2026-09-16 00:40:14"
1483,"Soft Wicker Tunic",632,1,"unverified","2026-09-16 00:40:14"
1484,"Soft Wicker Shoulderpads",668,2,"emerging","2026-09-16 00:40:14"
1485,"Soft Wicker Cloak +1",660,1,"unverified","2026-09-15 21:36:23"
1486,"Soft Wicker Belt +4",564,2,"emerging","2026-09-16 00:40:14"
